,0,1,2,3,4,5
Test Size,0.05,0.1,0.15,0.2,0.25,0.3
Accuracy,0.8205128205128205,0.8181818181818182,0.7931034482758621,0.7922077922077922,0.7760416666666666,0.7489177489177489
